"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Acid","PHB'24","222","none","Adventuring Gear","","","","","1 lb.","25 GP","When you take the Attack action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d6 Acid damage."
"Adamantine Ammunition","XGE","78","unknown","Ammunition, Generic Variant","","","","","","","Ammunition made of or coated with adamantine is unusually effective when used to break objects. Whenever a piece of adamantine ammunition hits an object, the hit is a critical hit.The adamantine version of ten pieces of ammunition costs 500 gp more than the normal version, whether the ammunition is made of the metal or coated with it. Base items. This item variant can be applied to the following base items:Arrow (Adamantine Arrow)Bolt (Adamantine Bolt)Firearm Bullet (Adamantine Firearm Bullet)Needle (Adamantine Needle)Sling Bullet (Adamantine Sling Bullet)"
"Adamantine Arrow","XGE","78","unknown","Ammunition (Arrow)","","","","","0,8 oz.","","Whenever you hit an object using this ammunition, the hit is a critical hit.Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Arrows are typically stored in a Quiver (bought separately)."
"Adamantine Bolt","XGE","78","unknown","Ammunition (Bolt)","","","","","1,2 oz.","","Whenever you hit an object using this ammunition, the hit is a critical hit.Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"Adamantine Double-Bladed Scimitar","XGE","78","unknown","Weapon (Double-Bladed Scimitar), Martial Weapon, Melee Weapon","","2d4 Slashing","two‑handed, special","","6 lb.","600 GP","The base item can be found in Eberron: Rising from the Last War, page 21.Whenever you hit an object with this weapon, the hit is a critical hit. Special. If you attack with a double-bladed scimitar as part of the Attack action on your turn, you can use a bonus action immediately after to make a melee attack with it. This attack deals 1d4 slashing damage on a hit, instead of 2d4. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Adamantine Firearm Bullet","XGE","78","unknown","Ammunition (Firearm Bullet)","","","","","⅕ lb.","","Whenever you hit an object using this ammunition, the hit is a critical hit.Firearm Bullets are destroyed upon use in a modern firearm."
"Adamantine Hooked Shortspear","XGE","78","unknown","Weapon (Hooked Shortspear), Martial Weapon, Melee Weapon","","1d4 Piercing","light","","2 lb.","","The base item can be found in Out of the Abyss, page 224.Whenever you hit an object with this weapon, the hit is a critical hit.On a hit with this weapon, the wielder can forgo dealing damage and attempt to trip the target, in which case the target must succeed on a Strength saving throw or fall prone. The DC is 8 + the wielder's Strength modifier + the wielder's proficiency bonus. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Adamantine Hoopak","XGE","78","unknown","Weapon (Hoopak), Martial Weapon, Melee Weapon","","1d6 Piercing","ammunition (40/160 ft.), finesse, two‑handed, special","","2 lb.","500 GP, 1 SP","The base item can be found in Dragonlance: Shadow of the Dragon Queen, page 188.Whenever you hit an object with this weapon, the hit is a critical hit.A hoopak is a sturdy stick with a sling at one end and a pointed tip at the other. Special. When you make a melee attack with this weapon, you ignore its ammunition property. You can use the hoopak as a martial ranged weapon. If you do, it uses the ammunition property, uses sling bullets, and deals 1d4 bludgeoning damage on a hit. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Adamantine Light Repeating Crossbow","XGE","78","unknown","Weapon (Light Repeating Crossbow), Simple Weapon, Ranged Weapon","","1d8 Piercing","ammunition (40/160 ft.), two‑handed","","5 lb.","","The base item can be found in Out of the Abyss, page 224.Whenever you hit an object with this weapon, the hit is a critical hit.This crossbow is fitted with a cartridge that can hold up to six crossbow bolts. It automatically reloads after firing until the cartridge runs out of ammunition. Reloading the cartridge takes an action. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Adamantine Needle","XGE","78","unknown","Ammunition (Needle)","","","","","0,32 oz.","","Whenever you hit an object using this ammunition, the hit is a critical hit.Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Needles are typically stored in a Pouch (bought separately)."
